1l1h16d		 reach max step		 eval_len0-50_acc: 0.039		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l1h16d		 reach max step		 eval_len0-50_acc: 0.021		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l1h64d		 reach max step		 eval_len0-50_acc: 0.0405		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l1h64d		 reach max step		 eval_len0-50_acc: 0.021		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l1h256d		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l1h256d		 reach max step		 eval_len0-50_acc: 0.0405		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l2h16d		 reach max step		 eval_len0-50_acc: 0.039		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l2h16d		 reach max step		 eval_len0-50_acc: 0.013		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l2h64d		 reach max step		 eval_len0-50_acc: 0.043		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l2h64d		 reach max step		 eval_len0-50_acc: 0.0265		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l2h256d		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l2h256d		 reach max step		 eval_len0-50_acc: 0.0405		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l4h16d		 reach max step		 eval_len0-50_acc: 0.039		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l4h16d		 reach max step		 eval_len0-50_acc: 0.013		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l4h64d		 reach max step		 eval_len0-50_acc: 0.0405		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l4h64d		 reach max step		 eval_len0-50_acc: 0.039		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l4h256d		 reach max step		 eval_len0-50_acc: 0.043		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l4h256d		 reach max step		 eval_len0-50_acc: 0.0405		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
2l1h16d		 reach max step		 eval_len0-50_acc: 0.042		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
2l1h16d		 reach max step		 eval_len0-50_acc: 0.0265		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
2l1h64d		 reach max step		 eval_len0-50_acc: 0.0835		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
2l1h64d		 reach max step		 eval_len0-50_acc: 0.0555		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
