1l1h16d		 reach max step		 eval_len0-50_acc: 0.0465		eval_len51-100_acc: 0.015		eval_len101-150_acc: 0.0005 		lr: 0.001
1l1h16d		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l1h64d		 reach max step		 eval_len0-50_acc: 0.213		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l1h64d		 reach max step		 eval_len0-50_acc: 0.045		eval_len51-100_acc: 0.0005		eval_len101-150_acc: 0.0 		lr: 0.0001
1l1h256d		 reach max step		 eval_len0-50_acc: 0.2535		eval_len51-100_acc: 0.017		eval_len101-150_acc: 0.0 		lr: 0.001
1l1h256d		 reach max step		 eval_len0-50_acc: 0.0965		eval_len51-100_acc: 0.014		eval_len101-150_acc: 0.0 		lr: 0.0001
1l2h16d		 reach max step		 eval_len0-50_acc: 0.064		eval_len51-100_acc: 0.0085		eval_len101-150_acc: 0.0015 		lr: 0.001
1l2h16d		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l2h64d		 reach max step		 eval_len0-50_acc: 0.2375		eval_len51-100_acc: 0.0135		eval_len101-150_acc: 0.0 		lr: 0.001
1l2h64d		 reach max step		 eval_len0-50_acc: 0.0365		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l2h256d		 reach max step		 eval_len0-50_acc: 0.2335		eval_len51-100_acc: 0.037		eval_len101-150_acc: 0.0 		lr: 0.001
1l2h256d		 reach max step		 eval_len0-50_acc: 0.102		eval_len51-100_acc: 0.0095		eval_len101-150_acc: 0.0 		lr: 0.0001
1l4h16d		 reach max step		 eval_len0-50_acc: 0.0735		eval_len51-100_acc: 0.014		eval_len101-150_acc: 0.002 		lr: 0.001
1l4h16d		 reach max step		 eval_len0-50_acc: 0.001		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l4h64d		 reach max step		 eval_len0-50_acc: 0.205		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l4h64d		 reach max step		 eval_len0-50_acc: 0.0375		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l4h256d		 reach max step		 eval_len0-50_acc: 0.2315		eval_len51-100_acc: 0.0185		eval_len101-150_acc: 0.0 		lr: 0.001
1l4h256d		 reach max step		 eval_len0-50_acc: 0.1485		eval_len51-100_acc: 0.01		eval_len101-150_acc: 0.0 		lr: 0.0001
2l1h16d		 reach max step		 eval_len0-50_acc: 0.5785		eval_len51-100_acc: 0.076		eval_len101-150_acc: 0.0025 		lr: 0.001
2l1h16d		 reach max step		 eval_len0-50_acc: 0.5205		eval_len51-100_acc: 0.073		eval_len101-150_acc: 0.0 		lr: 0.0001
2l1h64d		 reach max step		 eval_len0-50_acc: 0.5425		eval_len51-100_acc: 0.078		eval_len101-150_acc: 0.0 		lr: 0.001
2l1h64d		 reach max step		 eval_len0-50_acc: 0.745		eval_len51-100_acc: 0.3765		eval_len101-150_acc: 0.017 		lr: 0.0001
2l1h256d		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
2l1h256d		 reach max step		 eval_len0-50_acc: 0.7625		eval_len51-100_acc: 0.102		eval_len101-150_acc: 0.0 		lr: 0.0001
