1l1h16d		 reach max step		 eval_len0-50_acc: 0.0795		eval_len51-100_acc: 0.012		eval_len101-150_acc: 0.012 		lr: 0.001
1l1h16d		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.002 		lr: 0.0001
1l1h64d		 >> early stop 0.7		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.7735		eval_len101-150_acc: 0.168 		lr: 0.001
1l1h64d		 >> early stop 0.7		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.932		eval_len101-150_acc: 0.486 		lr: 0.0001
1l1h256d		 >> early stop 0.8		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9675		eval_len101-150_acc: 0.615 		lr: 0.001
1l1h256d		 >> early stop 0.7		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.963		eval_len101-150_acc: 0.7995 		lr: 0.0001
1l2h16d		 >> reach max step		 eval_len0-50_acc: 0.996		eval_len51-100_acc: 0.775		eval_len101-150_acc: 0.3075 		lr: 0.001
1l2h16d		 reach max step		 eval_len0-50_acc: 0.0015		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.005 		lr: 0.0001
1l2h64d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.972		eval_len101-150_acc: 0.4545 		lr: 0.001
1l2h64d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.8975		eval_len101-150_acc: 0.473 		lr: 0.0001
1l2h256d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.978		eval_len101-150_acc: 0.9575 		lr: 0.001
1l2h256d		 >> early stop 0.5		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.981		eval_len101-150_acc: 0.872 		lr: 0.0001
1l4h16d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9565		eval_len101-150_acc: 0.889 		lr: 0.001
1l4h16d		 reach max step		 eval_len0-50_acc: 0.014		eval_len51-100_acc: 0.0045		eval_len101-150_acc: 0.006 		lr: 0.0001
1l4h64d		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.956		eval_len101-150_acc: 0.7275 		lr: 0.001
1l4h64d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9355		eval_len101-150_acc: 0.553 		lr: 0.0001
1l4h256d		 >> early stop 0.4		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.983		eval_len101-150_acc: 0.943 		lr: 0.001
1l4h256d		 >> early stop 0.3		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9755		eval_len101-150_acc: 0.92 		lr: 0.0001
2l1h16d		 reach max step		 eval_len0-50_acc: 0.983		eval_len51-100_acc: 0.798		eval_len101-150_acc: 0.349 		lr: 0.001
2l1h16d		 reach max step		 eval_len0-50_acc: 0.3335		eval_len51-100_acc: 0.054		eval_len101-150_acc: 0.0 		lr: 0.0001
2l1h64d		 >> early stop 0.8		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9385		eval_len101-150_acc: 0.4285 		lr: 0.001
2l1h64d		 reach max step		 eval_len0-50_acc: 0.7995		eval_len51-100_acc: 0.686		eval_len101-150_acc: 0.4625 		lr: 0.0001
2l1h256d		 >> early stop 0.8		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9765		eval_len101-150_acc: 0.8985 		lr: 0.001
2l1h256d		 >> early stop 0.8		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9735		eval_len101-150_acc: 0.9385 		lr: 0.0001
