1l1h16d		 reach max step		 eval_len0-50_acc: 0.0365		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l1h16d		 reach max step		 eval_len0-50_acc: 0.017		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l1h64d		 reach max step		 eval_len0-50_acc: 0.0355		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l1h64d		 reach max step		 eval_len0-50_acc: 0.017		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l1h256d		 reach max step		 eval_len0-50_acc: 0.0375		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l1h256d		 reach max step		 eval_len0-50_acc: 0.0375		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l2h16d		 reach max step		 eval_len0-50_acc: 0.0345		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l2h16d		 reach max step		 eval_len0-50_acc: 0.017		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l2h64d		 reach max step		 eval_len0-50_acc: 0.0395		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l2h64d		 reach max step		 eval_len0-50_acc: 0.017		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l2h256d		 reach max step		 eval_len0-50_acc: 0.0345		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l2h256d		 reach max step		 eval_len0-50_acc: 0.0375		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l4h16d		 reach max step		 eval_len0-50_acc: 0.0325		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l4h16d		 reach max step		 eval_len0-50_acc: 0.017		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l4h64d		 reach max step		 eval_len0-50_acc: 0.0355		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l4h64d		 reach max step		 eval_len0-50_acc: 0.024		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l4h256d		 reach max step		 eval_len0-50_acc: 0.0365		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
