1l1h16d		 reach max step		 eval_len0-50_acc: 0.017		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l1h16d		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l1h64d		 reach max step		 eval_len0-50_acc: 0.0155		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l1h64d		 reach max step		 eval_len0-50_acc: 0.022		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l1h256d		 reach max step		 eval_len0-50_acc: 0.029		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l1h256d		 reach max step		 eval_len0-50_acc: 0.024		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l2h16d		 reach max step		 eval_len0-50_acc: 0.018		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l2h16d		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l2h64d		 reach max step		 eval_len0-50_acc: 0.014		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l2h64d		 reach max step		 eval_len0-50_acc: 0.0205		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l2h256d		 reach max step		 eval_len0-50_acc: 0.0295		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l2h256d		 reach max step		 eval_len0-50_acc: 0.025		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l4h16d		 reach max step		 eval_len0-50_acc: 0.0175		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l4h16d		 reach max step		 eval_len0-50_acc: 0.0005		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l4h64d		 reach max step		 eval_len0-50_acc: 0.005		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l4h64d		 reach max step		 eval_len0-50_acc: 0.0185		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l4h256d		 reach max step		 eval_len0-50_acc: 0.031		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l4h256d		 reach max step		 eval_len0-50_acc: 0.0265		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
2l1h16d		 reach max step		 eval_len0-50_acc: 0.047		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
2l1h16d		 reach max step		 eval_len0-50_acc: 0.014		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
2l1h64d		 reach max step		 eval_len0-50_acc: 0.212		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
